"ID","A","B","QUANTIDADE"
"691","White bread","Wheat","1"
"692","Dill","Kumquat","2"
"702","Chili","Rosemary","9"
"703","Chicken","Barley","1"
"705","Grape","Garden rhubarb","8"
"710","White mustard","Sweet potato","1"
"715","Lichee","Rosemary","7"
"716","Liquor","Mate","24"
"723","Tamarind","Vanilla","18"
"750","Plant","Leavening agent","1"
"757","Clam","Essential oil","3"
"758","Carrot","Parsley","11"
"759","Cheese","Coconut oil","12"
"763","Vaccinium (Blueberry, Cranberry, Huckleberry)","Oat","11"
"766","Sweet bay","Pistachio","2"
"767","Butter","Elderberry","31"
"773","Chicory","Unknown","1"
"774","Sweet basil","Red wine","1"
"777","Green cabbage","Tea","8"
"788","Tea","Red wine","59"
"793","Plant","Liquor","1"
"796","Blackcurrant","Lovage","6"
"805","Catfish","Pecan nut","22"
"812","Clam","Cattle (Beef, Veal)","48"
"814","Nuts","Salmon","4"
"817","Endive","Enokitake","13"
"822","Cream","Cattle (Beef, Veal)","9"
"824","Pecan nut","Domestic pig","37"
"825","Almond","Cattle (Beef, Veal)","7"
"835","Lemon","Passion fruit","5"
"852","Elderberry","Fishes","20"
"854","Lichee","Sesame","2"
"858","Banana","Essential oil","2"
"862","Grape","Lentils","1"
"864","Banana","Peppermint","11"
"870","Bean","Shrimp","27"
"888","Cattle (Beef, Veal)","Quince","16"
"889","Fruits","Watermelon","9"
"890","Grape","Quince","32"
"895","Prunus (Cherry, Plum)","Mango","21"
"896","Potato chip","Strawberry","14"
"897","Barley","Liquor","4"
"900","White mustard","Red wine","10"
"917","Sweet orange","Shiitake","34"
"918","Date","Rye bread","1"
"921","Elderberry","Lima bean","28"
"923","Essential oil","Rice","1"
"935","Essential oil","Black raisin","1"
"938","Liquor","Soy bean","1"
"944","Sherry","Soy sauce","2"
"949","Macadamia nut","Soy bean","16"
"950","Blackcurrant","Parsnip","3"
"953","Port wine","Nuts","5"
"956","Elderberry","Lemon grass","8"
"958","Vaccinium (Blueberry, Cranberry, Huckleberry)","Plant","1"
"962","Liquor","Sausage","1"
"964","Bivalvia (Clam, Mussel, Oyster)","Cattle (Beef, Veal)","9"
"971","Kohlrabi","Milk (Cow)","15"
"976","Beer","Macadamia nut","15"
"977","Green bell pepper","Papaya","24"
"981","Pasta","Swiss cheese","1"
"983","Apple","Papaya","69"
"984","Baked potato","Lobster","1"
"989","Blue cheese","Rosemary","6"
"1001","Blackberry","Nutmeg","14"
"1006","Mackerel","Mango","22"
"1009","Essential oil","Pepper","3"
"1011","Vaccinium (Blueberry, Cranberry, Huckleberry)","Apple cider","9"
"1018","Swiss cheese","White wine","79"
"1019","Avocado","Blackcurrant","13"
"1020","Cattle (Beef, Veal)","Peanut","1"
"1021","Pear","Roe","1"
"1028","Vaccinium (Blueberry, Cranberry, Huckleberry)","Fruits","9"
"1031","Cheese","Soy bean","63"
"1036","Butter","Pistachio","5"
"1039","Sausage","Mushrooms","9"
"1047","Sausage","Sour cherry","3"
"1053","Nectarine","Whisky","6"
"1055","Potato","Rye","4"
"1059","Beer","Pecan nut","34"
"1060","Vaccinium (Blueberry, Cranberry, Huckleberry)","Whisky","29"
"1061","Cottage cheese","Oil palm","3"
"1069","Apple cider","Wheat bread","22"
"1074","Vaccinium (Blueberry, Cranberry, Huckleberry)","Kelp","3"
"1084","Cattle (Beef, Veal)","Lima bean","3"
"1102","Mate","Domestic pig","23"
"1116","Fishes","Peanut oil","7"
"1124","Cheese","Peanut","50"
"1130","Okra","Vanilla","2"
"1137","Parmesan cheese","Cattle (Beef, Veal)","93"
"1157","Domestic pig","Vaccinium (Blueberry, Cranberry, Huckleberry)","22"
"1158","Lemon","Liquorice","2"
"1164","Cabbage","Cheese","13"
"1170","Meat","Domestic pig","1"
"1171","Avocado","Papaya","22"
"1173","Peanut","Green cabbage","7"
"1180","Meat","Rice","25"
"1183","Cloves","Kumquat","2"
"1200","Chickpea","Shrimp","1"
"1209","Fig","Potato","14"
"1213","Durian","Peanut","3"
"1214","Star anise","Strawberry","2"
"1226","Vaccinium (Blueberry, Cranberry, Huckleberry)","Herring","17"
"1227","Greek feta cheese","Green bell pepper","4"
"1228","Corn","Cheese","43"
"1235","Wild celery","Lemon","25"
"1246","Cashew nut","Macadamia nut","8"
"1253","Freshwater eel","Mandarin orange (Clementine, Tangerine)","8"
"1254","Red wine","Cucumber","7"
"1259","Fennel","Cattle (Beef, Veal)","2"
"1265","Guava","Red wine","56"
"1272","Plain cream cheese","Haddock","34"
"1276","Papaya","Turmeric","5"
"1282","Liquor","Liquor","3"
"1285","Common pea","Pineapple","20"
"1291","Grape","Kelp","7"
"1295","Mozzarella cheese","Swiss cheese","129"
"1296","Citrus","Olive","19"
"1297","Skipjack tuna","Allspice","1"
"1302","Citrus","Sherry","17"
"1304","Potato","Fishes","26"
"1325","Sweet marjoram","Cheese","4"
"1326","Sweet basil","Prickly pear","4"
"1330","Cauliflower","Lima bean","12"
"1348","Bivalvia (Clam, Mussel, Oyster)","Parmesan cheese","19"
"1363","Black tea","Grape","75"
"1366","Sweet marjoram","Blue cheese","4"
"1381","Cocoa bean","Swiss cheese","71"
"1382","Cashew nut","Quince","5"
"1383","Cashew nut","Peach","6"
"1384","Essential oil","Mackerel","1"
"1387","Adzuki bean","Garden rhubarb","4"
"1393","Red wine","Black raisin","13"
"1402","Liquor","Shiitake","1"
"1403","Salmon","White bread","28"
"1406","Peanut oil","Meat","5"
"1411","Skipjack tuna","Kiwi","4"
"1413","Gadus (Common cod)","Elderberry","20"
"1415","Fishes","Rum","25"
"1417","Lichee","Strawberry","2"
"1418","Coffee","Corn","44"
"1437","Liquor","Other fermented milk","1"
"1439","Common buckwheat","Caraway","1"
"1444","Cheese","Radish","8"
"1449","Essential oil","White mustard","1"
"1453","Honey","Wheat bread","16"
"1458","Sesame","Strawberry","1"
"1464","Sheep (Mutton, Lamb)","Cheese","46"
"1468","Cottage cheese","Kiwi","15"
"1469","Shiitake","Vegetable Broth","1"
"1474","Lemon","Nutmeg","18"
"1481","Juniperus communis","Lettuce","4"
"1489","Blackcurrant","Pistachio","1"
"1502","Domestic pig","Bean","43"
"1503","Cheese","Pecan nut","31"
"1505","Beer","Vaccinium (Blueberry, Cranberry, Huckleberry)","48"
"1507","Catfish","Hazelnut","2"
"1522","Sesame","Tuna","3"
"1527","Green bell pepper","Lemon","5"
"1528","Plain cream cheese","Tamarind","22"
"1534","Common bean","White champagne","38"
"1541","Meat","Scallop","18"
"1543","Prunus (Cherry, Plum)","Mackerel","6"
"1562","Freshwater eel","Fishes","64"
"1572","Freshwater eel","Hazelnut","2"
"1574","Cattle (Beef, Veal)","Swiss cheese","73"
"1585","Vaccinium (Blueberry, Cranberry, Huckleberry)","Sheep (Mutton, Lamb)","19"
"1591","Haddock","Sausage","20"
"1592","Dill","Sherry","14"
"1594","Coriander","Shiitake","7"
"1600","Kiwi","Rapeseed oil","2"
"1605","Mate","Meat","12"
"1608","Green bell pepper","Black raisin","7"
"1609","Guava","Peanut","32"
"1612","Freshwater eel","Mushrooms","31"
"1614","White champagne","Papaya","49"
"1615","Butter","Gin","6"
"1624","Apple","Green tea","72"
"1626","Citrus","Pistachio","3"
"1633","Cucumber","Nectarine","6"
"1635","Liquor","Liquor","1"
"1638","Blackberry","Red wine","38"
"1651","White bread","Flour","4"
"1654","Hazelnut","Watercress","1"
"1659","Cocoa bean","Greek feta cheese","67"
"1661","Fishes","Turnip","1"
"1664","Liquor","Cooking oil","1"
"1665","Essential oil","Red wine","59"
"1666","Liquor","Cloves","1"
"1671","Sweet orange","Red wine","17"
"1678","Bean","Okra","10"
"1684","Apple","Nuts","6"
"1690","Liquor","Cheese","7"
"1697","Swiss cheese","Yogurt","26"
"1701","Wild celery","Bean","18"
"1703","Broccoli","Greek feta cheese","6"
"1728","Coffee","Vanilla","31"
"1734","Parsnip","Tea","3"
"1736","Mango","Red wine","60"
"1737","Endive","Blue cheese","12"
"1740","Essential oil","Cabbage","1"
"1741","White bread","Vaccinium (Blueberry, Cranberry, Huckleberry)","12"
"1742","Apple cider","Other fermented milk","3"
"1750","Cocoa bean","Domestic pig","65"
"1754","Greek feta cheese","Sweet potato","3"
"1760","Pear","Bean","13"
"1765","Dill","Parsnip","2"
"1767","Durian","Swiss cheese","5"
"1772","Sour orange","Lettuce","2"
"1773","Baked potato","Rye","4"
"1774","Oat","Plant","2"
"1777","Corn grits","Cattle (Beef, Veal)","4"
"1778","Oil palm","Tea","2"
"1791","Pineapple","Blue cheese","41"
"1797","Carob","Sherry","1"
"1798","Sheep (Mutton, Lamb)","Pepper","2"
"1801","Apple","Pineapple","64"
"1807","Vaccinium (Blueberry, Cranberry, Huckleberry)","Green cabbage","5"
"1813","Kale","Sake","1"
"1820","Corn","White bread","4"
"1821","Sweet orange","Tuna","10"
"1823","Cattle (Beef, Veal)","Grape","1"
"1826","Rosemary","Green cabbage","1"
"1828","Vaccinium (Blueberry, Cranberry, Huckleberry)","Cattle (Beef, Veal)","16"
"1836","Peppermint","Wheat bread","11"
"1845","Mung bean","Wheat bread","40"
"1849","Sour orange","Essential oil","3"
"1850","Wild celery","Leek","9"
"1858","Banana","Mandarin orange (Clementine, Tangerine)","22"
"1863","Domestic pig","Garden onion","18"
"1866","Cheese","Vanilla","27"
"1872","Corn","Peanut","2"
"1892","Catfish","Wheat bread","30"
"1898","Freshwater eel","Mozzarella cheese","34"
"1901","Lima bean","Salmon","34"
"1904","Sausage","Rum","28"
"1908","Mate","Vinegar","4"
"1912","Garlic","Kelp","1"
"1914","Endive","Mandarin orange (Clementine, Tangerine)","4"
"1931","Juniperus communis","Nutmeg","10"
"1934","Cardamom","Coconut oil","3"
"1936","Domestic pig","Rubus (Blackberry, Raspberry)","42"
"1939","Lettuce","Sesame oil","1"
"1940","Peanut oil","Cattle (Beef, Veal)","5"
"1944","Passion fruit","Sausage","19"
"1950","Liquor","Squid","6"
"1952","Corn grits","Cheese","1"
"1981","Sour orange","Peanut","8"
"1992","Winter squash","Cheese","6"
"1996","Black raisin","Sesame oil","1"
"2011","Dill","Fishes","11"
"2012","Blackcurrant","Endive","10"
"2016","Essential oil","Cheddar Cheese","1"
"2025","Hazelnut","Sesame","2"
"2033","Haddock","Kohlrabi","12"
"2043","Banana","Essential oil","8"
"2046","Peanut","Salmon","48"
"2049","Liquor","Clam","4"
"2051","Cumin","Green bell pepper","6"
"2052","Skipjack tuna","Cheese","11"
"2053","Cattle (Beef, Veal)","Carob","1"
"2072","Domestic pig","Sausage","48"
"2075","Peanut oil","Vinegar","2"
"2076","Lemon","Adzuki bean","17"
"2082","Essential oil","Potato","9"
"2083","Corn","Cattle (Beef, Veal)","29"
"2108","Meat","Unknown","1"
"2112","Butter","Blue cheese","62"
"2113","Vaccinium (Blueberry, Cranberry, Huckleberry)","Essential oil","2"
"2115","Kohlrabi","Almond","1"
"2116","Liquor","Corn","12"
"2122","Swiss cheese","Guava","53"
"2127","Cheese","Common thyme","7"
"2128","Cheese","Cottage cheese","127"
"2134","Grapefruit","Oil palm","2"
"2135","Wild celery","Essential oil","2"
"2140","Peppermint","Rapeseed oil","7"
"2141","Honey","Red wine","29"
"2148","Mozzarella cheese","Cattle (Beef, Veal)","74"
"2150","Rice","Honey","13"
"2151","Domestic pig","Lobster","2"
"2152","White bread","Red grape juice","1"
"2157","Fruits","Nutmeg","2"
"2160","Grape","Lettuce","3"
"2161","Lingonberry","Vinegar","2"
"2163","Liquor","Haddock","6"
"2167","Mushrooms","Vegetable Broth","1"
"2169","Liquor","Plant","1"
"2183","Carrot","Cassava","1"
"2192","Brussel sprouts","Apple cider","1"
"2195","Avocado","Sweet potato","3"
"2197","Prickly pear","Plant","1"
"2217","Honey","Cheese","26"
"2219","Domestic pig","Pear","12"
"2222","Cream","Other fermented milk","12"
"2223","Herring","Papaya","22"
"2225","Chili","Cheese","4"
"2232","White champagne","Port wine","128"
"2237","Honey","Peach","14"
"2238","Fenugreek","Yogurt","1"
"2239","Cattle (Beef, Veal)","Fennel","2"
"2240","Dill","Tea","22"
"2241","Sweet basil","Beer","5"
"2243","Passion fruit","Pepper","9"
"2255","Popcorn","Tea","13"
"2265","Liquor","Meat","22"
"2266","Vaccinium (Blueberry, Cranberry, Huckleberry)","Walnut","7"
"2269","Pasta","Cheese","1"
"2273","Mentha","Parsnip","2"
"2277","Domestic pig","Peach","15"
"2288","Lemon grass","Yogurt","1"
"2290","Lemon","Turmeric","7"
"2293","Kiwi","Bivalvia (Clam, Mussel, Oyster)","5"
"2294","Lard","Salmon","1"
"2295","Dill","Star anise","2"
"2302","Vaccinium (Blueberry, Cranberry, Huckleberry)","Coffee","25"
"2310","Salmon","Soy bean","56"
"2311","Chicken","Domestic pig","1"
"2321","Green bell pepper","Grape","20"
"2326","Cloves","Essential oil","1"
"2327","Blue cheese","Walnut","8"
"2333","Cheese","Sake","15"
"2338","Cabbage","Turnip","2"
"2339","Clam","White wine","27"
"2340","Swiss cheese","Essential oil","10"
"2345","Sweet orange","Swede","6"
"2350","Juniperus communis","Prunus (Cherry, Plum)","27"
"2353","Essential oil","Winter savory","1"
"2364","Cheese","Rapeseed oil","2"
"2373","Mushrooms","Garden tomato","50"
"2375","Sesame","Blue cheese","11"
"2380","Liquor","Essential oil","2"
"2392","Green tea","Sheep (Mutton, Lamb)","37"
"2394","Globe artichoke","Cauliflower","2"
"2421","Eggs","Shallot","3"
"2423","Angelica","Tamarind","1"
"2433","Sesame oil","White bread","3"
"2438","Garlic","Black raisin","1"
"2448","Lemon","Unknown","1"
"2455","Pineapple","Tarragon","1"
"2461","Grapefruit","Rosemary","3"
"2468","Sheep (Mutton, Lamb)","Vanilla","15"
"2472","Cheese","White bread","41"
"2473","Juniperus communis","Nuts","5"
"2475","Baked potato","Brussel sprouts","5"
"2478","Cauliflower","Coriander","4"
"2479","Cabbage","Coriander","1"
"2481","Blackberry","Soy sauce","1"
"2485","Sweet bay","Pineapple","7"
"2487","Pasta","White bread","4"
"2519","Vaccinium (Blueberry, Cranberry, Huckleberry)","Vaccinium (Blueberry, Cranberry, Huckleberry)","58"
"2520","Common bean","Grape","40"
"2523","Parsley","Salmon","6"
"2529","Citrus","Coffee","9"
"2540","Sesame","Black tea","8"
"2542","Pear","Sour orange","16"
"2547","Vaccinium (Blueberry, Cranberry, Huckleberry)","Essential oil","1"
"2552","Cassava","Mackerel","3"
"2556","Catfish","Juniperus communis","17"
"2559","Cattle (Beef, Veal)","Cattle (Beef, Veal)","49"
"2565","Chives","Vanilla","3"
"2572","Banana","Chervil","1"
"2574","Cattle (Beef, Veal)","Pepper","4"
"2576","Baked potato","Cocoa bean","58"
"2578","Honey","Quince","9"
"2584","Almond","Okra","3"
"2588","Plain cream cheese","Sweet orange","5"
"2594","Nuts","Watercress","1"
"2600","Cream","Swiss cheese","23"
"2601","Chicken","Essential oil","62"
"2621","Liquor","Cumin","1"
"2623","Corn","Meat","25"
"2635","Oat","White wine","3"
"2636","Cattle (Beef, Veal)","Vegetable Broth","2"
"2637","Coriander","Grape","14"
"2661","Globe artichoke","Pecan nut","1"
"2664","Cottage cheese","Strawberry","7"
"2667","Green bell pepper","Cocoa bean","23"
"2670","Cauliflower","Strawberry","13"
"2675","Catfish","Garden tomato","33"
"2676","Liquor","Soybean oil","2"
"2677","Pear","Common thyme","2"
"2686","Fenugreek","Pecan nut","5"
"2690","Chives","Fishes","6"
"2692","Molasses","Red wine","2"
"2700","Baked potato","Coriander","7"
"2703","Essential oil","Whisky","2"
"2707","Carrot","Red wine","10"
"2712","Scallop","Shiitake","26"
"2714","Greek feta cheese","Mango","46"
"2719","Lime","Potato","16"
"2720","Almond","Grape","2"
"2733","Fennel","Pepper (C. frutescens)","7"
"2734","Baked potato","Pasta","4"
"2742","Grapefruit","Shiitake","12"
"2744","Rice","Rosemary","6"
"2746","Macadamia nut","Domestic pig","3"
"2749","Carrot","Cumin","8"
"2751","Domestic pig","Cattle (Beef, Veal)","102"
"2754","Spearmint","Whisky","7"
"2757","Essential oil","Bivalvia (Clam, Mussel, Oyster)","1"
"2758","Clam","Mung bean","27"
"2760","Skipjack tuna","Bivalvia (Clam, Mussel, Oyster)","3"
"2761","Anise","Swiss cheese","2"
"2762","Baked potato","Chili","8"
"2766","Cucumber","Pecan nut","6"
"2770","Parsley","Rapeseed oil","7"
"2771","Vaccinium (Blueberry, Cranberry, Huckleberry)","Honey","15"
"2774","Cheese","Yogurt","26"
"2782","Avocado","Okra","3"
"2789","Prunus (Cherry, Plum)","Quince","19"
"2794","Cauliflower","Corn","11"
"2797","Corn grits","Peanut","2"
"2805","Leek","Wheat bread","17"
"2812","Asparagus","Essential oil","4"
"2814","Whisky","Tamarind","3"
"2815","Anise","Turmeric","2"
"2819","Rum","Spearmint","10"
"2820","Vaccinium (Blueberry, Cranberry, Huckleberry)","Prunus (Cherry, Plum)","26"
"2825","Cloves","Peach","11"
"2827","Scallop","Garden tomato","22"
"2834","Almond","Ginger","2"
"2841","Globe artichoke","Butter","3"
"2842","Cattle (Beef, Veal)","Vanilla","1"
"2856","Cheese","White wine","79"
"2857","Sausage","Milk (Cow)","31"
"2864","Cumin","Prunus (Cherry, Plum)","6"
"2877","Almond","Sesame","3"
"2880","Gin","Domestic pig","6"
"2883","Apple cider","Cheese","38"
"2885","Clam","Blackcurrant","8"
"2886","Haddock","Meat","1"
"2888","White mustard","Yogurt","2"
"2891","Chili","Swiss cheese","11"
"2899","Lemon","Grape","2"
"2900","Beer","Cheese","92"
"2907","Citrus","Adzuki bean","12"
"2908","Avocado","Sour orange","13"
"2910","Sweet marjoram","Cattle (Beef, Veal)","2"
"2913","Green bell pepper","Sweet marjoram","10"
"2917","Sesame","Cheese","11"
"2918","Prunus (Cherry, Plum)","Strawberry","9"
"2924","Cabbage","Grape","8"
"2930","Kohlrabi","Parmesan cheese","19"
"2944","White bread","Hazelnut","4"
"2954","Fennel","Mango","6"
"2955","Sesame","Roe","2"
"2956","Squid","Wheat bread","8"
"2968","Chili","Essential oil","1"
"2971","Corn","Kelp","3"
"2976","Liquor","Lima bean","1"
"2978","Essential oil","Sweet potato","2"
"2980","Blue cheese","Soy bean","70"
"2987","Sweet basil","Rubus (Blackberry, Raspberry)","5"
"2995","Sesame","Domestic pig","1"
"3004","Mandarin orange (Clementine, Tangerine)","Red wine","18"
"3007","Kiwi","Sheep (Mutton, Lamb)","7"
"3008","Chinese cabbage","Grape","2"
"3011","Cheese","Sesame","9"
"3012","Peanut","Tuna","48"
"3019","Red wine","Bivalvia (Clam, Mussel, Oyster)","11"
"3030","Peach","Cattle (Beef, Veal)","37"
"3033","Kelp","Lime","1"
"3037","Enokitake","Lemon grass","5"
"3043","Banana","Prunus (Cherry, Plum)","1"
"3044","Essential oil","Squid","1"
"3048","Cucumber","Common thyme","2"
"3054","Pear","Blue cheese","17"
"3066","Grapefruit","Sesame","4"
"3067","Butter","Coconut oil","12"
"3074","Tarragon","Corn","1"
"3076","Sweet orange","Common pea","10"
"3078","Sweet bay","Papaya","13"
"3079","Essential oil","Mango","68"
"3081","Enokitake","Roe","7"
"3088","Tea","Tuna","46"
"3090","Cassava","Blue cheese","4"
"3096","Almond","Cheese","3"
"3097","Banana","Coriander","5"
"3099","Common bean","Brussel sprouts","6"
"3104","Cinnamon","Garden tomato","16"
"3107","Rice","Cheese","38"
"3110","Coconut","Watermelon","17"
"3122","Green bell pepper","Walnut","3"
"3126","Cabbage","Honey","7"
"3133","Greek feta cheese","Walnut","8"
"3136","Pepper (Spice)","Chili","36"
"3138","Rice","Common pea","27"
"3139","Black raspberry","Fishes","17"
"3150","Apple cider","Parsnip","1"
"3151","Clam","Cumin","1"
"3153","Sheep (Mutton, Lamb)","Pepper","2"
"3154","Grape","Yam","1"
"3161","Black raspberry","Cottage cheese","24"
"3174","Citrus","Common thyme","10"
"3175","Cheese","Prunus (Cherry, Plum)","1"
"3176","Hazelnut","Okra","1"
"3178","Red wine","Vanilla","31"
"3182","Red grape juice","Red wine","1"
"3191","Essential oil","Parsnip","3"
"3194","White champagne","Plant","4"
"3201","Nutmeg","Common sage","5"
"3214","Juniperus communis","Sherry","22"
"3216","Guava","Vegetable Broth","1"
"3227","Angelica","Garden tomato","2"
"3235","Clam","Sweet marjoram","5"
"3237","Sour orange","Nuts","3"
"3242","Lovage","Pepper (C. frutescens)","5"
"3245","Cattle (Beef, Veal)","Bean","57"
"3246","Cattle (Beef, Veal)","Syrup","1"
"3248","Angelica","Dill","2"
"3273","Barley","Sheep (Mutton, Lamb)","8"
"3277","Mushrooms","Nutmeg","7"
"3278","Essential oil","Red wine","10"
"3285","Adzuki bean","Peanut","52"
"3292","Anise","Domestic pig","2"
"3294","Sheep (Mutton, Lamb)","Strawberry","5"
"3295","Enokitake","Saffron","2"
"3296","Coconut","Salmon","19"
"3302","Carrot","Vaccinium (Blueberry, Cranberry, Huckleberry)","12"
"3307","Rum","Vanilla","31"
"3311","Haddock","Kale","1"
"3312","Essential oil","White wine","6"
"3316","Green tea","Strawberry","89"
"3319","Beer","Other fermented milk","6"
"3324","Sesame","Nutmeg","12"
"3325","Black raspberry","Blue cheese","24"
"3328","Cabbage","Meat","7"
"3331","Green bell pepper","Domestic pig","11"
"3332","Vaccinium (Blueberry, Cranberry, Huckleberry)","Soy bean","28"
"3335","Plant","Domestic pig","35"
"3338","Liquor","Rye bread","3"
"3347","Vaccinium (Blueberry, Cranberry, Huckleberry)","White mustard","12"
"3356","Ginger","Pepper","16"
"3357","Crab","Rapeseed oil","2"
"3359","Black raspberry","Red wine","24"
"3364","Cheddar Cheese","Domestic pig","65"
"3367","Clam","Pineapple","13"
"3377","Green bell pepper","Green bell pepper","36"
"3381","Domestic pig","Shrimp","9"
"3388","Broccoli","Cloves","1"
